i,hs2,v
44,15,164.0050019482151
44,16,2469.38690296188
44,17,.0389999989420176
44,18,8.865000038407743
44,19,82.25299844611436
44,20,48.86700094304979
44,21,80.19999950705096
44,22,7393.255942880875
44,24,17.73900055885315
44,25,59693.6443733878
44,26,.300000011920929
44,27,1630347.751914628
44,28,574.3290096372366
44,29,23489.76545126271
44,30,324.3939985287143
44,32,258.0789997493848
44,33,69.27100164152216
44,34,150.8980026670033
44,35,1.046999994432554
44,37,196.0040006181225
44,38,109.3110003238544
44,39,58072.02471656294
44,40,502.252992378315
44,42,89.78699878416955
44,43,1.69300003349781
44,44,384.517001055181
44,46,1.989000016823411
44,47,6.417999863624573
44,48,505.3290008394979
44,49,95341.8946883207
44,52,9.433000007644296
44,54,6.284000158309937
44,55,1.100000023841858
44,56,17.15900018624961
44,57,377.674986789003
44,58,4.656000042334199
44,59,15.5
44,61,64.63800018886104
44,62,369.3370078594889
44,63,760.1240271151764
44,64,109.5290007134899
44,65,23.96700015384704
44,66,4.632000096142292
44,67,3.098999962210655
44,68,170.0130033465102
44,69,94.53899951279163
44,70,40.40900000371039
44,71,42898.82124208566
44,72,9484.943124271929
44,73,10391.16822333226
44,74,3756.692905388772
44,76,6668.600065641105
44,78,163.9029998779297
44,80,21.01100063323975
44,81,509.0330017805099
44,82,5937.043760807719
44,83,79.73000074224547
44,84,18366.30893680837
44,85,8944.500072943047
44,86,47.63799929618835
44,87,6418.749988770112
44,88,1211.398020803928
44,89,280544.0445432961
44,90,19011.87078435754
44,91,720.9620094681159
44,92,215.879000980407
44,93,.3499999940395355
44,94,3016.091010681819
44,95,13827.75259720441
44,96,15.0430001973873
44,97,5485.081978634931
48,1,8605.742219241103
48,2,1584.862994149327
48,3,47879.06733125914
48,4,505941.7655559126
48,5,.1150000034831464
48,6,7.884999781847
48,7,18480.76392944623
48,8,2070.658017246518
48,9,14002.98998715426
48,10,449.4620015514083
48,11,663.7160036331043
48,12,2227.839979663491
48,13,157.975004112348
48,14,.0080000003799796
48,15,7832.733998922631
48,16,13619.87308456562
48,17,27873.15040953783
48,18,844.8319925479591
48,19,169885.082268453
48,20,11610.46291521192
48,21,108329.0126516166
48,22,26473.7358549058
48,23,1366.661035230383
48,24,1178.05898013711
48,25,14791.60721069272
48,26,1500128.621070033
48,27,5904617.633386547
48,28,86362.28167588124
48,29,128046.949223593
48,30,5073.509946480626
48,31,293813.4025745913
48,32,6955.473905855673
48,33,55100.60451077693
48,34,81999.84977793484
